,Date,Close Price,Fee,Purchased Price,Capital Gain,Order,DC_hband,DC_mband,DC_lband
234,2021-09-29 13:00:00+07:00,19000.0,68,19068.0,0.0,BUY,192.0,189.5,187.0
235,2021-09-30 09:00:00+07:00,19200.0,88,19068.0,44.0,SELL,193.0,190.0,187.0
236,2021-10-01 10:00:00+07:00,19700.0,70,19770.0,0.0,BUY,198.0,192.5,187.0
237,2021-10-01 11:00:00+07:00,20200.0,92,19770.0,338.0,SELL,202.0,194.5,187.0
238,2021-10-08 09:00:00+07:00,20800.0,74,20874.0,0.0,BUY,212.0,207.0,202.0
239,2021-10-08 10:00:00+07:00,20600.0,94,20874.0,-368.0,SELL,212.0,207.0,202.0
240,2021-10-11 09:00:00+07:00,20600.0,74,20674.0,0.0,BUY,210.0,207.0,204.0
241,2021-10-11 11:00:00+07:00,20600.0,94,20674.0,-168.0,SELL,210.0,207.0,204.0
242,2021-10-11 14:00:00+07:00,21000.0,75,21075.0,0.0,BUY,210.0,207.0,204.0
243,2021-10-11 15:00:00+07:00,21000.0,96,21075.0,-171.0,SELL,210.0,207.0,204.0
244,2021-10-27 09:00:00+07:00,22600.0,81,22681.0,0.0,BUY,238.0,229.0,220.0
245,2021-10-27 14:00:00+07:00,22600.0,103,22681.0,-184.0,SELL,232.0,226.0,220.0
246,2021-11-01 10:00:00+07:00,22800.0,82,22882.0,0.0,BUY,234.0,228.0,222.0
247,2021-11-02 09:00:00+07:00,22800.0,104,22882.0,-186.0,SELL,234.0,228.0,222.0
248,2021-11-03 09:00:00+07:00,23000.0,82,23082.0,0.0,BUY,234.0,228.0,222.0
249,2021-11-04 14:00:00+07:00,22800.0,104,23082.0,-386.0,SELL,234.0,229.0,224.0
250,2021-11-08 15:00:00+07:00,22800.0,82,22882.0,0.0,BUY,232.0,230.0,228.0
251,2021-11-09 13:00:00+07:00,22800.0,104,22882.0,-186.0,SELL,232.0,229.0,226.0
252,2021-11-09 15:00:00+07:00,22600.0,81,22681.0,0.0,BUY,232.0,229.0,226.0
253,2021-11-11 11:00:00+07:00,23000.0,105,22681.0,214.0,SELL,230.0,228.0,226.0
254,2021-11-11 13:00:00+07:00,22600.0,81,22681.0,0.0,BUY,230.0,228.0,226.0
255,2021-11-12 10:00:00+07:00,22800.0,104,22681.0,15.0,SELL,230.0,228.0,226.0
256,2021-11-15 09:00:00+07:00,23000.0,82,23082.0,0.0,BUY,230.0,228.0,226.0
257,2021-11-15 10:00:00+07:00,22800.0,104,23082.0,-386.0,SELL,230.0,228.0,226.0
258,2021-11-15 11:00:00+07:00,22600.0,81,22681.0,0.0,BUY,230.0,228.0,226.0
259,2021-11-16 09:00:00+07:00,22600.0,103,22681.0,-184.0,SELL,230.0,225.0,220.0
260,2021-11-16 11:00:00+07:00,22800.0,82,22882.0,0.0,BUY,230.0,225.0,220.0
261,2021-11-17 13:00:00+07:00,22400.0,103,22882.0,-585.0,SELL,230.0,225.0,220.0
262,2021-11-17 14:00:00+07:00,22600.0,81,22681.0,0.0,BUY,230.0,225.0,220.0
263,2021-11-18 14:00:00+07:00,22400.0,103,22681.0,-384.0,SELL,230.0,225.0,220.0
264,2021-11-19 13:00:00+07:00,22600.0,81,22681.0,0.0,BUY,230.0,225.0,220.0
265,2021-11-24 09:00:00+07:00,22200.0,102,22681.0,-583.0,SELL,226.0,223.0,220.0
266,2021-11-25 13:00:00+07:00,22000.0,79,22079.0,0.0,BUY,226.0,223.0,220.0
